id,long,lat
Corvo_N,-31.11987,39.754821
Corvo_S,-31.11987,39.599274
Corvo_E,-31.032238,39.675952
Corvo_W,-31.198739,39.67157
Flores_N,-31.205311,39.516024
Flores_S,-31.196548,39.353904
Flores_E,-31.115488,39.434964
Flores_W,-31.358667,39.443727
Faial_N,-28.71437,38.71419
Faial_S,-28.718751,38.481965
Faial_E,-28.556632,38.63094
Faial_W,-28.874298,38.637512
Pico_N,-28.405466,38.637512
Pico_S,-28.234584,38.317655
Pico_E,-28.155715,38.477584
Pico_W,-28.558823,38.479774
SaoJorge_N,-28.000168,38.729526
SaoJorge_S,-28.006741,38.558643
SaoJorge_E,-27.680311,38.552071
SaoJorge_W,-28.315644,38.720763
Graciosa_N,-27.997977,39.117298
Graciosa_S,-27.997977,38.961751
Graciosa_E,-27.914727,39.031856
Graciosa_W,-28.076846,39.034047
Terceira_N,-27.275013,38.880691
Terceira_S,-27.279394,38.633131
Terceira_E,-27.034025,38.709809
Terceira_W,-27.439323,38.720763
SaoMiguel_N1,-25.758978,37.912357
SaoMiguel_N2,-25.366825,37.831297
SaoMiguel_E,-25.121455,37.765573
SaoMiguel_W,-25.92767,37.83787
SaoMiguel_S1,-25.680109,37.680132
SaoMiguel_S2,-25.281383,37.666987
SantaMaria_N,-25.117073,37.034941
SantaMaria_S,-25.114882,36.881585
SantaMaria_E,-24.963717,36.954976
SantaMaria_W,-25.198133,36.961549
