Family,name_species,littoral,UNS,END,EPI,THA,ANE,Shaeffer_SDD_syndrome,SMR,SMG,TER,GRA,SJG,PIC,FAI,FLO,COR
Poaceae,Agrostis_botelhoi,,1,,,,,hydrochorous,0,0,1,0,0,0,0,1,0
Poaceae,Agrostis_congestiflora,,0.5,,0.5,,,hydrochorous,0,1,1,1,1,1,1,1,1
Poaceae,Agrostis_gracililaxa,,0.5,,0.5,,,hydrochorous,0,1,1,1,0,0,1,1,0
Poaceae,Agrostis_stolonifera,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,1
Crassulaceae,Aichryson_villosum,,1,,,,,anemochorous,1,0,0,0,0,0,0,0,0
Poaceae,Aira_caryophyllea,,0.5,,0.5,,,anemochorous,1,1,1,0,1,1,1,1,1
Poaceae,Aira_praecox,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,1
Apiaceae,Ammi_seubertianum,1,1,,,,,hydrochorous,1,0,0,0,0,1,0,0,0
Apiaceae,Ammi_trifoliatum,,1,,,,,hydrochorous,0,1,1,0,1,1,1,1,1
Myrsinaceae,Anagallis_minima,,1,,,,,epizoochorous,1,0,0,0,0,0,0,1,1
Myrsinaceae,Anagallis_tenella,,1,,,,,epizoochorous,0,0,0,0,1,1,1,1,0
Apiaceae,Angelica_lignescens,1,,,,0.5,0.5,hydrochorous,0,1,1,0,0,1,1,1,0
Poaceae,Anthoxanthum_odoratum,,0.5,,,,0.5,epizoochorous,1,1,1,1,1,1,1,1,1
Apiaceae,Apium_graveolens,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,1
Loranthaceae,Arceuthobium_azoricum,,0.5,,0.5,,,epizoochorous,0,0,1,0,1,1,1,0,0
Campanulaceae,Azorina_vidalii,1,1,,,,,anemochorous,1,1,1,1,1,1,1,1,1
Asteraceae,Bellis_azorica,,1,,,,,anemochorous,0,1,1,0,1,1,1,1,1
Amaranthaceae,Beta_vulgaris,1,,,,1,,hydrochorous,1,1,1,1,1,1,1,0,0
Poaceae,Brachypodium_sylvaticum,,,,1,,,epizoochorous,1,1,1,1,1,1,1,1,1
Callitrichaceae,Callitriche_stagnalis,,1,,,,,epizoochorous,1,1,1,1,1,1,1,1,1
Ericaceae,Calluna_vulgaris,,1,,,,,anemochorous,1,1,1,1,1,1,1,1,1
Brassicaceae,Cardamine_caldeirarum,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,1
Cyperaceae,Carex_divulsa,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,0
Cyperaceae,Carex_echinata,,1,,,,,hydrochorous,0,1,1,0,1,1,1,1,1
Cyperaceae,Carex_extensa,1,,,,1,,hydrochorous,0,0,1,0,0,0,0,0,0
Cyperaceae,Carex_hochstetteriana,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,1
Cyperaceae,Carex_otrubae,,1,,,,,hydrochorous,1,0,0,0,0,0,0,1,1
Cyperaceae,Carex_pairae,,1,,,,,hydrochorous,0,1,0,1,1,0,0,0,1
Cyperaceae,Carex_pendula,,1,,,,,hydrochorous,1,1,0,0,1,1,1,1,1
Cyperaceae,Carex_peregrina,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,1
Cyperaceae,Carex_pilulifera,,1,,,,,hydrochorous,0,1,1,0,1,1,1,1,0
Cyperaceae,Carex_punctata,,1,,,,,hydrochorous,1,1,1,1,1,1,1,1,0
Cyperaceae,Carex_viridula,,1,,,,,hydrochorous,0,1,1,0,1,1,1,1,0
Cyperaceae,Carex_vulcani,,1,,,,,hydrochorous,1,1,1,0,1,1,1,1,0
Gentianaceae,Centaurium_scilloides,1,,,,1,,hydrochorous,1,1,1,0,1,1,1,1,1
Caryophyllaceae,Cerastium_azoricum,,1,,,,,hydrochorous,0,0,0,0,0,0,0,1,1
Caryophyllaceae,Cerastium_fontanum,,1,,,,,endozoochorous,1,1,1,1,1,1,1,1,1
Ceratophyllaceae,Ceratophyllum_demersum,,0.5,,0.5,,,hydrochorous,0,1,0,0,0,1,0,1,0
Apiaceae,Chaerophyllum_azoricum,,1,,,,,epizoochorous,0,1,0,0,1,1,0,1,0
