,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,SanCristobal,SantaCruz,SantaFe,Santiago,,,
Espanola,0,4571.154151,1195.605622,4867.692508,2214.466766,4197.779484,4582.413817,3376.273711,1233.892994,2535.614186,2121.072106,3920.076574,,,
Fernandina,4571.154151,0,3640.165212,5459.778365,1792.951054,4495.371252,4391.243353,4552.611508,5306.244937,5031.22466,4597.90452,4398.223346,,,
Floreana,1195.605622,3640.165212,0,6295.43755,1240.657334,6193.882894,6515.573019,3133.408556,1884.935805,2632.57569,1354.970249,4012.616126,,,
Genovesa,4867.692508,5459.778365,6295.43755,0,2147.682522,1001.87596,1247.782058,4754.568245,2277.748712,3941.674275,4729.755394,1994.10351,,,
Isabela,2214.466766,1792.951054,1240.657334,2147.682522,0,1132.246419,1388.29197,1145.993091,2692.41403,1696.42177,2101.84166,989.6615227,,,
Marchena,4197.779484,4495.371252,6193.882894,1001.87596,1132.246419,0,593.1951581,5655.113623,2066.863462,3141.865282,3882.062809,2335.817624,,,
Pinta,4582.413817,4391.243353,6515.573019,1247.782058,1388.29197,593.1951581,0,5565.711748,2479.197013,3389.425376,4366.924366,2029.102705,,,
Pinzon,3376.273711,4552.611508,3133.408556,4754.568245,1145.993091,5655.113623,5565.711748,0,3240.86858,1343.254334,2906.277718,2760.648389,,,
SanCristobal,1233.892994,5306.244937,1884.935805,2277.748712,2692.41403,2066.863462,2479.197013,3240.86858,0,2088.623916,1927.185574,2279.627696,,,
SantaCruz,2535.614186,5031.22466,2632.57569,3941.674275,1696.42177,3141.865282,3389.425376,1343.254334,2088.623916,0,1307.574703,1610.10012,,,
SantaFe,2121.072106,4597.90452,1354.970249,4729.755394,2101.84166,3882.062809,4366.924366,2906.277718,1927.185574,1307.574703,0,3843.547201,,,
Santiago,4108.865929,4398.223346,4012.616126,1994.10351,989.6615227,2335.817624,2029.102705,2760.648389,2279.627696,1610.10012,3843.547201,0,,,
