Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Malvaceae,Abutilon,depauperatum,1,En,8,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Schizocarp,1,0,0,0,0,,
Mimosaceae,Acacia,insulae-iacobi,,Id,1,3,,,,,,,,,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Mimosaceae,Acacia,macracantha,1,Id,1,6,,,1,,1,,,1,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Mimosaceae,Acacia,rorudiana,1,EnQ,1,7,1,,1,,1,,,1,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Euphorbiaceae,Acalypha,abingdonii,1,En,1,2,,,,,,1,1,,,,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,flacida,,En,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,wigginsii,,En,1,2,,,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,parvula,1,En,1,3,,,,,1,,,,,1,,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,aff. sericea,,NoData,4,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,velutina,,NoData,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,baurii,1,En,1,6,,1,,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Asteraceae,Acmella,darwinii,1,En,1,5,,,1,,1,,1,,1,,,1,,Achene,0.5,0,0.5,0,0,,
Asteraceae,Acanthospermum,,,,,,,,,,,,,,,,,,,,,,1,,,,
Asteraceae,Ageratum,conyzoides,1,Id,1,6,,,1,,1,,1,,1,1,,1,1,Achene,0,0,1,0,0,,
Amaranthaceae,Alternanthera,rugulosa,1,Id,1,1,,,,,,,,,1,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,helleri,,En,1,0,,,,,,,,,,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,nesiotes,1,En,1,1,,,1,,,,,,,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,snodgrassii,1,En,1,1,,,,,,,,,,1,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,flavicoma,1,En,1,3,1,,,,1,,,,1,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,galapagensis,1,En,1,3,,,1,,,,,,,1,,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,filifolia,1,En,1,10,1,1,1,,1,,1,1,1,1,1,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,vestita,1,Id,1,2,,,,,1,,,,,1,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,halimifolia,1,Id,1,6,,1,,,1,,1,,1,1,,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,echinocephala,1,Id,1,9,1,,1,,1,,1,1,1,1,1,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,hybridus,1,NoData,1,1,,,,,,,,,,1,,,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,anderssonii,1,En,1,7,1,,1,,1,,,1,,1,1,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,furcatus,,En,1,3,,,,,1,,,,,1,,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,sclerantoides,1,En,1,10,1,,1,1,1,,1,1,1,1,1,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,squamulatus,1,Id,1,7,,,1,1,1,,,1,,1,1,1,2,Utricle,1,0,0,0,0,,
Basellaceae,Anredera,ramosa,1,Id,1,6,,1,1,,1,,,1,1,1,,,1,Drupe,0,1,0,0,0,,
