long,lat
-89.6831,-1.2804
-89.6811,-1.4436
-89.7621,-1.36
-89.6002,-1.3594
-89.5186,-0.7227
-89.3605,-0.8806
-89.6802,-0.8803
-89.2007,-0.7164
-90.4772,-1.2016
-90.4772,-1.3602
-90.5628,-1.2806
-90.3186,-1.2826
-90.0821,-0.7192
-90.1654,-0.8794
-90.1654,-0.801
-90.0024,-0.7967
-90.4006,-0.481
-90.4056,-0.7985
-90.5609,-0.6392
-90.1607,-0.6412
-90.8022,-0.0793
-90.7221,-0.3964
-90.8814,-0.2391
-90.5629,-0.2398
-91.3618,-0.241
-91.2052,-1.12
-91.4432,-0.1575
-91.203,-0.5646
-91.5232,-0.9558
-90.7991,-0.799
-90.9636,-0.3985
-91.2024,-0.0015
-90.4829,0.4013
-90.4805,0.2367
-90.561,0.3215
-90.3238,0.3219
-90.7218,0.6408
-90.7221,0.4799
-90.8021,0.5648
-90.6461,0.5635
-89.9545,0.2969
-90.6707,-0.5854
-91.5174,-0.2412
-91.525,0.5604
-90.5596,-1.2782
-90.32,-1.2816
