"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
0,1441.66377220716,650.472110950251,703.15014963122,1623.7035797819,2233.58563069247,1812.8465747391,1677.52066745769,1166.48499670168,2343.88838844764,1532.28107790041,1509.69853650234,2079.51519058731,1777.23941078152,2231.18885783548,3742.08814839601,1730.47334756722,3212.14186618619,4071.10816529331,4064.72210340974,3359.10295359887,4545.86082665118,4865.60191053157,4949.51192640818,5324.8446440817,5495.36311617653,6447.84284776668,4650.35443780522,4546.86279952268,5901.91691779895,4790.26412524991,4550.38674811157,4611.28724000543,4788.04455297975,4599.95418229193
1441.66377220716,0,325.696831434188,596.383827016249,757.719329081233,1331.92846208544,940.475894057105,862.856140061682,555.801210323625,685.344044501062,1018.77421131109,725.893670217028,1700.33289603488,1131.85235373482,1108.15568433568,2232.65636071413,1123.14572954262,2069.20563104703,2484.90640760849,3188.05247486763,2138.52356671511,3755.69842413706,3545.60419421392,4198.78621421404,4236.33693642573,3952.60537955242,4932.83608430699,4004.43464172873,3772.68027481666,4917.65350124127,3965.945621962,3965.80181957288,4007.9683893913,4139.02637982338,3919.68715470512
650.472110950251,325.696831434188,0,2020.09299326252,930.191436092802,1532.7517484392,1134.50832118185,1067.32778821214,753.96934869872,1269.68231057902,1085.54722271071,969.158252795675,1624.76898493785,1167.175878639,1469.33058230421,2829.25985274599,1229.77757427602,2554.38288307449,3051.79136603532,3867.32416186059,2603.8097626696,4047.94860258982,4087.919843612,4683.89080074868,4637.49789547959,4593.77282258854,5610.60232100673,4250.0189025522,4081.54812141582,5217.64223765274,4297.20652245217,4157.39890901137,4239.34790489126,4391.47088285023,4187.93060368415
703.15014963122,596.383827016249,2020.09299326252,0,1011.19791469593,1767.55481219042,1274.38358186978,1119.92172291998,1745.73275705959,1878.76865808539,2243.90300583425,1841.98243052072,3283.57990482667,2681.28741950994,2324.92238504787,3678.57733724775,2389.57043891215,3438.19903949414,3978.10560847401,4724.17887647302,3459.85311357476,5239.41175135778,5024.22559914111,5740.91064580765,5724.91975554605,5594.08141933969,6645.76943880284,5503.36196630765,5300.4633887222,6483.97954350387,5473.42256668627,5375.81407876766,5445.13154323733,5643.80386529661,5395.6586843014
1623.7035797819,757.719329081233,930.191436092802,1011.19791469593,0,1307.84890955651,200.897955982778,326.385386729156,716.554829071794,614.083160550142,1174.43746403266,741.143759171627,2173.70792766936,1635.83607824472,986.996158242627,1952.22113250498,1187.19565426995,1905.65877203382,2252.11101564066,2906.38470980997,1842.17636288807,3595.30424185423,3226.90107739399,4094.50482350524,3962.9307593644,3711.29682749426,4708.09671224088,3881.09703469967,3606.02998966133,4677.20794736866,3783.90263081027,3857.71817613458,3923.83823941325,4064.79246570725,3845.07041632262
2233.58563069247,1331.92846208544,1532.7517484392,1767.55481219042,1307.84890955651,0,507.482917416391,485.049215896999,928.369787428309,777.536807252735,1263.59095722854,831.184175957638,2491.4049084224,2005.87826833847,1003.23687613146,1925.11699935078,1288.95073326988,1800.90168955607,2138.96906599086,2784.52797588272,1798.29960775809,3453.81974917872,3130.36267465072,3900.82057512801,3843.85338030149,3554.01131871116,4532.0608246206,3734.36020992003,3466.21525963136,4566.57228686039,3663.98390974591,3750.20832388685,3766.74201078026,3871.54452829891,3747.48821239479
1812.8465747391,940.475894057105,1134.50832118185,1274.38358186978,200.897955982778,507.482917416391,0,1059.6307054459,659.607929309869,604.469521570836,1177.27955924532,742.575035669741,2254.69579582653,1708.29947740483,900.404556981264,1800.44996149353,1148.86439122797,1763.81084167722,2085.51530941693,2746.86145483267,1738.15166591305,3430.73627120708,3113.49154814485,3975.39052046808,3833.43829282731,3558.10084370336,4530.34410466462,3784.45675405318,3454.66339921192,4545.99171441587,3615.43848126271,3742.5394018172,3772.91174413269,3907.94298264276,3753.27918362279
1677.52066745769,862.856140061682,1067.32778821214,1119.92172291998,326.385386729156,485.049215896999,1059.6307054459,0,997.413324877046,929.48981031568,1476.54338499131,1016.39949559685,2504.43033004998,1951.87850134573,1322.88560537655,2279.16311077081,1480.46239323332,2240.30525661482,2611.00965717902,3265.00481718395,2236.60199919189,3943.59744866382,3647.01647239062,4422.8201170839,4353.99255013576,4104.49825110998,5063.67010398601,4247.23596790642,3965.2706423807,5008.22122773514,4135.35416391742,4261.41920438489,4269.85615621375,4428.48447414296,4211.86757427454
1166.48499670168,555.801210323625,753.96934869872,1745.73275705959,716.554829071794,928.369787428309,659.607929309869,997.413324877046,0,1409.7987983649,336.266333422713,271.625912672172,1324.84715409152,704.398369843081,816.54484549685,1977.94939735063,553.053578637223,1915.39040133778,2347.99286097664,3089.87662494742,1944.65989033293,3565.82150924389,3404.75905662425,4086.28983608983,4075.96301942856,3899.1297201939,4927.77458953225,3824.00770678978,3570.21990309511,4682.96846486454,3721.8000814702,3744.6907267607,3787.20293109427,3908.98709950978,3730.97021814475
2343.88838844764,685.344044501062,1269.68231057902,1878.76865808539,614.083160550142,777.536807252735,604.469521570836,929.48981031568,1409.7987983649,0,379.824554410752,668.576543279058,2033.01484495225,1480.93947751274,315.338677787464,1211.8347257169,471.829757803289,1178.44422353707,1440.66740918356,2061.72625791759,1132.04570460155,2859.90590106889,2493.90220749097,3176.3275755214,3193.08380908639,2964.11831759437,3949.45246127939,3241.03803995591,2883.19796894781,3998.06371302632,3079.21329870662,3198.54125974075,3201.48642818517,3354.07180496573,3148.2872393973
