,SantaCruz_N,SantaCruz_S,SantaCruz_E,SantaCruz_W,SantaFe_N,SantaFe_S,SantaFe_E,SantaFe_W,Floreana_N,Floreana_S,Floreana_E,Floreana_W,Espanola_N,Espanola_S,Espanola_E,Espanola_W,SanCristobal_N,SanCristobal_S,SanCristobal_E,SanCristobal_W,Pinzon,Santiago_N,Santiago_S,Santiago_E,Santiago_W,Genovesa,Marchena_N,Marchena_S,Marchena_E,Marchena_W,Pinta_N,Pinta_S,Pinta_E,Pinta_W,Isabela_N,Isabela_S,Isabela_E1,Isabela_E2,Isabela_E3,Isabela_W1,Isabela_W2,Isabela_W3,Fernandina_N,Fernandina_S,Fernandina_E,Fernandina_W
SantaCruz_N,0,,,,18.56066976,,,,373.3809405,,,,489.5477789,,,,264.7043606,,,,193.7006956,503.0774879,208.4204283,309.9228542,489.6750606,740.5172848,1037.381331,791.6194214,700.1819414,808.8417427,1163.017359,982.8428601,975.3199576,932.5449803,858.726397,593.9660616,298.0119622,278.0440815,679.9382747,1169.607613,1741.045634,1649.948724,1891.903612,1504.874614,2047.521165,1567.121953
SantaCruz_S,,,,,,,,,,,,,,,,,,,,,,1320.299069,581.046395,1211.461128,713.2277599,1419.354697,1875.702017,1282.886701,1469.594029,1428.439165,2060.257613,1621.547983,1778.617132,1844.854865,1171.357411,719.8129078,447.4440414,500.6134212,837.0741389,1390.247539,2127.711533,2071.843797,2255.84036,1840.218238,2443.358662,1754.545785
SantaCruz_E,,,,,,,,,,,,,,,,,,,,,,540.1854244,857.8224293,562.5553491,1236.053163,845.2837327,1060.024262,537.9161132,688.4472973,639.9473088,1123.102514,739.0442691,990.4226398,812.231182,939.7369557,759.052203,810.495296,1148.071209,1270.577196,1386.386084,1963.685089,1852.255438,2141.184487,1741.404979,2294.497914,1861.36535
SantaCruz_W,,,,,,,,,,,,,,,,,,,,,,646.5901145,282.5068773,505.3502508,498.6914197,763.1573794,1265.295959,723.460858,861.830787,837.4904781,1504.421888,947.6951688,1103.823157,1133.473637,975.5149546,576.4485054,326.0215433,318.055341,704.8286881,1123.463252,1682.353687,1741.148267,1973.162076,1426.015016,1972.310357,1530.382251
SantaFe_N,18.56066976,,,,0,,,,165.4348611,,,,312.8926621,,,,201.3237648,,,,514.9963494,666.1508673,1064.175036,761.6367185,1289.461642,839.6353397,1140.210111,692.5298441,718.38491,784.2383669,1228.570527,923.0043753,1085.69016,964.9570888,1007.350252,635.6962432,674.2264262,1135.084927,1415.145249,1212.457289,1795.208581,1832.202902,2097.704081,1530.381798,2053.959836,1546.179935
SantaFe_S,,,,,,,,,,,,,,,,,,,,,,813.4812351,666.5130297,857.660719,809.0368523,887.2639933,1196.073915,646.7725377,740.6373887,749.1793168,1376.478866,920.9367875,1139.803889,1131.81241,1200.861526,496.2309648,348.7153078,617.4934521,982.0950145,1032.988717,1580.321525,1703.197098,1912.500243,1345.724511,1865.725699,1369.741907
SantaFe_E,,,,,,,,,,,,,,,,,,,,,,672.1493183,1033.672027,740.0207243,1270.685009,666.4948058,977.9970174,516.2956473,611.1352002,625.4261557,1039.11535,757.7876991,907.5945522,830.0442432,1179.469814,565.7756269,615.8095108,1085.838043,1356.42264,1110.105369,1658.519138,1739.429236,2018.192164,1413.636722,1891.679715,1431.651716
SantaFe_W,,,,,,,,,,,,,,,,,,,,,,638.2076133,951.1377732,669.4564736,1073.966488,818.5924605,1059.201781,520.3127268,636.2272621,625.4111575,1223.886505,752.623582,994.6913204,942.4679669,1204.612718,485.6273042,463.1237968,847.1984883,1252.210493,1027.294727,1580.445274,1697.702661,1895.518919,1330.781481,1834.675277,1334.2326
Floreana_N,373.3809405,,,,165.4348611,,,,0,,,,79.51991154,,,,326.9096503,,,,356.4416139,1323.443814,765.8515889,1246.129951,954.9240672,1352.955891,1819.271141,1780.415333,1474.597094,1759.911426,2248.526965,2019.22533,1920.934776,2043.998535,1514.015681,257.6693527,396.4646112,702.7966601,1192.007512,668.9182921,1140.4605,1317.308216,1472.472294,936.573118,1427.560473,954.8881302
Floreana_S,,,,,,,,,,,,,,,,,,,,,,1920.256151,1367.794763,1809.164325,1490.686083,1752.318847,2390.360517,1940.298683,1893.781823,2094.844298,2539.126676,2295.649713,2371.289246,2413.817645,2031.169166,464.0235095,833.800625,1244.654637,1635.31508,876.8521808,1421.03056,1570.005261,1738.024411,1172.159797,1689.17417,1198.347882
