,Santa_Cruz,Santa_Fe,Floreana,Espanola,San_Cristobal,Pinzon,Santiago,Genovesa,Marchena,Pinta,Isabela,Fernandina
Santa_Cruz,0,18.56066976,373.3809405,489.5477789,264.7043606,193.7006956,208.4204283,740.5172848,537.9161132,739.0442691,278.0440815,1426.015016
Santa_Fe,18.56066976,0,165.4348611,312.8926621,201.3237648,514.9963494,638.2076133,666.4948058,516.2956473,752.623582,348.7153078,1330.781481
Floreana,373.3809405,165.4348611,0,79.51991154,326.9096503,356.4416139,701.8481582,1300.495536,1323.684884,1678.148306,257.6693527,936.573118
Espanola,489.5477789,312.8926621,79.51991154,0,157.5710768,755.1587864,871.08159,1177.353131,1031.67905,1305.028276,516.5641013,1335.698686
San_Cristobal,264.7043606,201.3237648,326.9096503,157.5710768,0,777.4902207,614.5976083,717.6092063,391.2050083,694.4979507,579.6399569,1605.538948
Pinzon,193.7006956,514.9963494,356.4416139,755.1587864,777.4902207,0,163.0599571,811.9878059,849.8004194,1113.649584,185.5661303,1197.409053
Santiago,208.4204283,638.2076133,701.8481582,871.08159,614.5976083,163.0599571,0,560.6947232,337.3850627,504.3877661,147.9110826,1045.068106
Genovesa,740.5172848,666.4948058,1300.495536,1177.353131,717.6092063,811.9878059,560.6947232,0,81.72076948,347.71017,598.883488,1430.125854
Marchena,537.9161132,516.2956473,1323.684884,1031.67905,391.2050083,849.8004194,337.3850627,81.72076948,0,60.13226737,328.5283523,1047.958555
Pinta,739.0442691,752.623582,1678.148306,1305.028276,694.4979507,1113.649584,504.3877661,347.71017,60.13226737,0,415.3735964,1018.610713
Isabela,278.0440815,348.7153078,257.6693527,516.5641013,579.6399569,185.5661303,147.9110826,598.883488,328.5283523,415.3735964,0,118.8642199
Fernandina,1426.015016,1330.781481,936.573118,1335.698686,1605.538948,1685.13812,1045.068106,1430.125854,1047.958555,1018.610713,118.8642199,0
