"SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"SantaCruz_N","   0.000"," 964.445","1072.567"," 228.973","1143.270","1528.703","1355.628","1300.464"," 769.425","1448.272","1372.765"," 724.148","1870.331","2261.173","1970.585","2091.783","1873.269","1919.446","1932.721","1597.079"," 193.701"," 522.910"," 208.420"," 451.980"," 489.675"," 919.784","1369.062"," 791.619"," 774.293"," 905.178","1387.260"," 982.843","1256.223","1042.377"," 858.726"," 593.966"," 298.012"," 278.044"," 679.938","1169.608","1741.046","1649.949","1891.904","1504.875","2047.521","1567.122"
"SantaCruz_S"," 993.697","   0.000"," 284.117"," 436.101"," 305.071"," 446.799"," 679.799"," 134.705"," 744.857","1144.539"," 849.201"," 824.591","1324.985","1591.437","1623.453","1464.177","1859.491","1335.746","1367.603","1190.505"," 391.654","1320.299"," 581.046","1211.461"," 713.228","1685.896","1875.702","1282.887","1469.594","1428.439","2187.078","1621.548","1830.235","1877.515","1171.357"," 719.813"," 447.444"," 500.613"," 837.074","1390.248","2127.712","2071.844","2362.013","1840.218","2443.359","1866.765"
"SantaCruz_E"," 590.611"," 388.508","   0.000"," 955.604"," 223.024"," 241.815"," 363.382","  46.180"," 373.381"," 538.142"," 425.272"," 552.807"," 943.836","1167.007","1046.311"," 952.853","1721.183","1172.308","1317.575","1009.174","1173.008"," 540.185"," 857.822"," 562.555","1236.053"," 845.284","1060.024"," 537.916"," 688.447"," 639.947","1123.103"," 739.044"," 990.423"," 812.231","1002.686"," 759.052"," 810.495","1148.071","1270.577","1386.386","1963.685","1852.255","2141.184","1741.405","2294.498","1861.365"
"SantaCruz_W"," 422.419"," 442.327","1604.179","   0.000","1440.211","1067.983","1482.305"," 853.036"," 406.234","1125.065"," 967.618"," 436.291","1438.820","1503.844","1598.202","1387.914","2279.415","2057.780","1938.942","2248.892"," 260.664"," 646.590"," 282.507"," 505.350"," 498.691","1239.879","1265.296"," 723.461"," 878.651"," 837.490","1504.422"," 947.695","1103.823","1133.474"," 975.515"," 576.449"," 326.022"," 318.055"," 704.829","1123.463","1682.354","1741.148","1973.162","1426.015","1972.310","1530.382"
"SantaFe_N"," 830.242"," 253.169","  98.556"," 731.975","   0.000"," 214.058","  61.152","  18.732"," 303.268"," 506.911"," 352.557"," 459.044"," 753.882"," 957.874"," 870.029"," 798.141","1463.541","1026.775"," 967.280"," 846.475"," 834.908"," 766.291","1064.175"," 761.637","1289.462"," 936.877","1140.210"," 692.530"," 816.438"," 784.238","1228.571"," 923.004","1110.481"," 991.259","1223.971"," 635.696"," 674.226","1135.085","1415.145","1212.457","1795.209","1832.203","2097.704","1530.382","2053.960","1546.180"
"SantaFe_S"," 889.788"," 187.644"," 122.833"," 532.578"," 321.080","   0.000","  58.735","  98.687"," 274.412"," 477.937"," 351.872"," 422.141"," 669.266"," 980.951"," 857.361"," 794.008","1375.067"," 858.547"," 844.588"," 744.577"," 514.996"," 813.481"," 666.513"," 857.661"," 809.037"," 887.264","1196.074"," 646.773"," 740.637"," 749.179","1376.479"," 920.937","1139.804","1131.812","1200.862"," 496.231"," 348.715"," 617.493"," 982.095","1032.989","1580.322","1703.197","1912.500","1345.725","1865.726","1369.742"
"SantaFe_E"," 792.442"," 529.610"," 250.797"," 723.481","  91.209","  71.463","   0.000"," 403.410"," 250.308"," 275.557"," 165.435"," 401.397"," 479.348"," 570.853"," 543.306"," 418.075","1426.018"," 855.892"," 895.378"," 771.166"," 853.500"," 725.261","1033.672"," 740.021","1270.685"," 666.495"," 977.997"," 516.296"," 611.135"," 625.426","1039.115"," 757.788"," 907.595"," 830.044","1184.517"," 565.776"," 615.810","1085.838","1356.423","1110.105","1658.519","1739.429","2018.192","1413.637","1891.680","1431.652"
"SantaFe_W"," 723.278"," 309.558","  18.561"," 540.857"," 150.330"," 147.956"," 520.921","   0.000"," 213.694"," 383.551"," 278.377"," 365.345"," 878.280"," 966.212","1047.225"," 786.962","1709.308","1271.352","1391.650","1117.941"," 636.826"," 638.208"," 951.138"," 669.456","1073.966"," 818.592","1059.202"," 520.313"," 636.227"," 625.411","1223.887"," 752.624"," 994.691"," 942.468","1204.613"," 485.627"," 463.124"," 847.198","1252.210","1027.295","1580.445","1697.703","1895.519","1330.781","1834.675","1334.233"
"Floreana_N","1351.653"," 653.922"," 762.720"," 853.684"," 729.830"," 582.190"," 754.621"," 620.335","   0.000"," 877.236"," 454.466"," 120.945","1113.516","1071.306","1182.803"," 927.465","1788.143","1096.832","1095.430","1017.903"," 834.961","1677.529"," 952.690","1508.666","1020.417","1870.458","2323.180","1780.415","1907.557","1868.701","2632.602","2019.225","2211.622","2250.133","1514.016"," 257.669"," 396.465"," 862.299","1196.782"," 668.918","1140.460","1317.308","1472.472"," 936.573","1427.560"," 954.888"
"Floreana_S","1697.278"," 852.731"," 721.191","1304.329"," 855.459"," 574.171"," 674.389"," 659.284"," 735.595","   0.000","  70.637"," 186.575"," 860.263"," 727.602"," 919.913"," 821.079","1554.000"," 881.444"," 928.609"," 821.134","1252.557","1998.504","1402.123","1933.222","1490.686","1891.039","2542.528","1940.299","2130.713","2094.844","2858.831","2295.650","2444.961","2636.858","2031.169"," 464.024"," 833.801","1288.022","1635.315"," 876.852","1421.031","1570.005","1738.024","1172.160","1689.174","1198.348"
