"","SantaCruz_N","SantaCruz_S","SantaCruz_E","SantaCruz_W","SantaFe_N","SantaFe_S","SantaFe_E","SantaFe_W","Floreana_N","Floreana_S","Floreana_E","Floreana_W","Espanola_N","Espanola_S","Espanola_E","Espanola_W","SanCristobal_N","SanCristobal_S","SanCristobal_E","SanCristobal_W","Pinzon","Santiago_N","Santiago_S","Santiago_E","Santiago_W","Genovesa","Marchena_N","Marchena_S","Marchena_E","Marchena_W","Pinta_N","Pinta_S","Pinta_E","Pinta_W","Isabela_N","Isabela_S","Isabela_E1","Isabela_E2","Isabela_E3","Isabela_W1","Isabela_W2","Isabela_W3","Fernandina_N","Fernandina_S","Fernandina_E","Fernandina_W"
"SantaCruz_N",0,964.445031733123,1072.5669106637,228.973345475425,1143.27027050877,1528.70322465135,1355.62790345628,1300.46403516256,769.42531432756,1448.27210996677,1372.76502931115,724.1475061419,1870.33111366236,2261.17348527344,1970.5853480767,2091.78309979472,1873.26871604289,1919.44563794063,1932.72092107585,1597.07877390871,193.700695593187,522.909780066328,208.420428324134,451.97988892997,489.675060623436,919.78419945418,1369.06235339787,791.619421445179,774.293276256625,905.178062994678,1387.25981106752,982.842860107235,1256.22304514967,1042.37691879235,858.726396987471,593.966061556796,298.011962236229,278.044081522508,679.93827465742,1169.60761275988,1741.0456340114,1649.94872404761,1891.90361197005,1504.87461385947,2047.52116483748,1567.12195297978
"SantaCruz_S",993.696562283254,0,284.117327625197,436.100653494439,305.070870748352,446.799076745194,679.799459545924,134.704822669179,744.8569004843,1144.53851103172,849.201244101293,824.590758367665,1324.98482456624,1591.43658691329,1623.45264621317,1464.17666001027,1859.49058383059,1335.7456060327,1367.60334798756,1190.5048274691,391.654307750789,1320.29906912844,581.04639495365,1211.46112753809,713.227759899021,1685.89573061338,1875.70201721583,1282.8867011643,1469.59402855947,1428.43916533429,2187.07796411572,1621.54798289154,1830.23514766385,1877.51548215291,1171.35741113053,719.812907825424,447.444041397824,500.613421229155,837.074138934542,1390.24753877089,2127.71153317739,2071.84379698667,2362.01266621561,1840.21823837577,2443.35866230317,1866.76478386075
"SantaCruz_E",590.61076832375,388.507643344732,0,955.604398920752,223.024280608834,241.814992852805,363.381726863684,46.1803500307763,373.380940495019,538.14249647499,425.271619667449,552.80715562455,943.836280907849,1167.00675940676,1046.3109277953,952.853291327428,1721.1828199379,1172.3084055383,1317.57484856501,1009.17414006883,1173.00800349628,540.185424399955,857.822429298452,562.555349092994,1236.05316339889,845.283732749805,1060.0242621522,537.916113234403,688.44729726775,639.947308831881,1123.10251409593,739.044269066208,990.422639833868,812.231181979441,1002.6864314046,759.052203022603,810.495295999502,1148.07120874189,1270.57719622799,1386.38608397256,1963.68508903108,1852.25543770968,2141.18448675677,1741.40497915761,2294.49791436497,1861.36534952732
"SantaCruz_W",422.418583172088,442.32709398224,1604.17933101626,0,1440.21093678635,1067.98271174151,1482.30520649762,853.035602356888,406.234438962536,1125.06457971239,967.618163367101,436.291157374988,1438.81994199372,1503.84388005638,1598.20171903814,1387.91407006704,2279.41498333557,2057.77997718816,1938.94178350274,2248.89199169833,260.664099457391,646.590114526179,282.506877328052,505.350250773964,498.691419681438,1239.87856640539,1265.29595894007,723.460858048228,878.650518446061,837.490478149578,1504.42188770085,947.695168802397,1103.82315651847,1133.4736371075,975.514954614542,576.44850537372,326.021543261068,318.055340952888,704.828688146236,1123.46325235404,1682.35368661913,1741.14826726853,1973.16207614915,1426.01501626421,1972.31035650365,1530.38225140485
"SantaFe_N",830.241992125633,253.169496092708,98.5555260126938,731.975061766638,0,214.057981778516,61.1516550500247,18.732452365893,303.268005418991,506.911012528769,352.557479043764,459.044318221167,753.882044356778,957.87414497033,870.028607013964,798.141154886052,1463.54057836707,1026.77473904414,967.28003936775,846.475185059429,834.908470341553,766.291294056486,1064.175036284,761.636718519259,1289.46164203814,936.876869347364,1140.21011095946,692.529844098516,816.438044572097,784.238366869066,1228.57052747129,923.00437530658,1110.48113085097,991.25875646873,1223.97057089464,635.696243193739,674.226426244974,1135.0849273243,1415.1452487271,1212.45728881006,1795.20858090767,1832.2029023179,2097.70408120355,1530.38179790904,2053.95983645691,1546.17993512702
"SantaFe_S",889.7883872611,187.644038264662,122.832584914497,532.578057997087,321.080302431868,0,58.735266492973,98.6867208227428,274.412208680503,477.937047941239,351.871690355489,422.140797510866,669.265686559335,980.951458110941,857.36112411924,794.00791545727,1375.06740201852,858.5466664919,844.587890047478,744.576767677549,514.996349360907,813.48123509035,666.513029702775,857.660718993553,809.03685230322,887.263993337874,1196.07391546117,646.772537718426,740.637388671581,749.179316839918,1376.47886629854,920.936787466847,1139.80388930536,1131.8124100304,1200.86152550025,496.230964840576,348.715307808714,617.493452083456,982.095014472419,1032.98871682604,1580.32152491769,1703.19709793835,1912.50024274762,1345.72451060583,1865.72569946433,1369.74190746114
"SantaFe_E",792.442498704639,529.609968767221,250.796530352581,723.480891388138,91.209326654884,71.4626836823325,0,403.409540809004,250.308305838877,275.556621172008,165.434861081361,401.396565839239,479.347510172924,570.853229796489,543.30601867911,418.075155568483,1426.017515377,855.891530330754,895.37791395974,771.166334793587,853.499833505512,725.261489814728,1033.67202725209,740.020724274184,1270.68500855381,666.494805778623,977.997017427404,516.295647260074,611.135200172226,625.426155679866,1039.11534989911,757.787699052264,907.594552197943,830.044243165914,1184.51683593866,565.775626880798,615.809510829492,1085.83804291604,1356.42263998559,1110.1053685627,1658.51913778046,1739.42923630283,2018.19216437998,1413.63672243948,1891.67971507916,1431.65171574332
"SantaFe_W",723.27796407481,309.558456777077,18.5606697584081,540.857117251132,150.329903832094,147.95588086553,520.920555958962,0,213.694039881617,383.551041175917,278.377225237563,365.345005815804,878.280142155619,966.212199219725,1047.22453071146,786.962487780597,1709.30790640144,1271.35229236644,1391.65009628122,1117.94058499929,636.826477239855,638.207613331025,951.13777321604,669.456473597773,1073.96648780483,818.592460506113,1059.20178129495,520.312726775763,636.227262122328,625.4111574994,1223.88650549712,752.623581982599,994.691320377854,942.467966879653,1204.61271758303,485.627304181345,463.123796778819,847.198488269873,1252.21049331809,1027.29472677005,1580.44527431602,1697.70266077603,1895.51891911318,1330.78148051919,1834.67527740632,1334.23260016132
"Floreana_N",1351.65288019986,653.921748659379,762.719976039327,853.683512039259,729.829811043484,582.19015147263,754.620561935717,620.334920058504,0,877.235761669112,454.466244728686,120.944795928007,1113.5160645036,1071.30608463125,1182.80283829553,927.464904274836,1788.14264226762,1096.83211295606,1095.42983250882,1017.90286871721,834.961358692558,1677.5293005962,952.690039007826,1508.66646180488,1020.41717123512,1870.45761016804,2323.17954677006,1780.41533269914,1907.55732664072,1868.70075267922,2632.60229891521,2019.22533025688,2211.62164840032,2250.13322697079,1514.015680763,257.669352710556,396.464611192888,862.298897532724,1196.78161349711,668.918292133744,1140.46049991873,1317.30821556471,1472.47229412591,936.573118014405,1427.56047259374,954.888130227063
"Floreana_S",1697.27762403188,852.730692186863,721.191432020266,1304.32859029407,855.45854814209,574.171367816699,674.388817319077,659.284107494786,735.595415375946,0,70.6365022799028,186.574821263331,860.262679943595,727.601635692041,919.913212117976,821.07918815116,1553.99972798328,881.444469135307,928.608657146176,821.134348761274,1252.55739545749,1998.50389858934,1402.1233453293,1933.22159003624,1490.68608327716,1891.03895739816,2542.52759262716,1940.29868339627,2130.71298502328,2094.84429777798,2858.83123380704,2295.64971349503,2444.9607228481,2636.85843199308,2031.1691662703,464.023509487121,833.800624984494,1288.02195805186,1635.31507956102,876.852180791814,1421.03055988558,1570.00526063068,1738.02441100996,1172.1597974132,1689.17416987031,1198.34788226859
