id,long,lat
LaPalma_N,-17.917655,28.961992
LaPalma_S,-17.837324,28.396398
LaPalma_E,-17.688138,28.640669
LaPalma_W,-18.001265,28.63739
ElHierro_N,-17.998805,27.840639
ElHierro_S,-18.005363,27.591449
ElHierro_E,-17.926672,27.748832
ElHierro_W,-18.164385,27.748832
LaGomera_N,-17.277467,28.316067
LaGomera_S,-17.197136,27.999661
LaGomera_E,-17.039753,28.150487
LaGomera_W,-17.356158,28.150487
Tenerife_N1,-16.233166,28.640669
Tenerife_N2,-16.643017,28.481647
Tenerife_S,-16.641378,27.914412
Tenerife_E,-16.395467,28.235736
Tenerife_W,-16.885649,28.166881
GranCanaria_N,-15.601995,28.239015
GranCanaria_S,-15.592158,27.750472
GranCanaria_E,-15.358543,27.999661
GranCanaria_W,-15.924138,27.913593
Fuerteventura_N,-13.912587,28.795593
Fuerteventura_S,-14.404409,27.992284
Fuerteventura_W1,-14.394572,28.162782
Fuerteventura_W2,-14.079806,28.559518
Fuerteventura_E1,-14.161777,28.159503
Fuerteventura_E2,-13.758483,28.549682
Lanzarote_N,-13.51913,29.279217
Lanzarote_S,-13.840453,28.795593
Lanzarote_E,-13.448635,29.02347
Lanzarote_W,-13.838814,29.044782
