name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Allagopappus_canariensis,Asteraceae,1,End,,0,0,1,1,1,0,0,3,ANE,
Allagopappus_viscosissimus,Asteraceae,1,End,,0,0,0,0,1,0,0,1,ANE,
Andryala_pinnatifida,Asteraceae,1,End,,1,1,1,1,1,1,1,7,ANE,
Argyranthemum_broussonetii,Asteraceae,1,End,,0,0,1,1,0,0,0,2,ANE,
Argyranthemum_coronopifolium,Asteraceae,1,End,,0,1,0,1,0,0,0,2,ANE,
Argyranthemum_escarrei,Asteraceae,1,End,,0,0,0,0,1,0,0,1,ANE,
Argyranthemum_gracile,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Argyranthemum_hierrense,Asteraceae,1,End,,1,0,0,0,0,0,0,1,ANE,
Argyranthemum_lemsii,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Argyranthemum_lidii,Asteraceae,1,End,,0,0,0,0,1,0,0,1,ANE,
Argyranthemum_maderense,Asteraceae,1,End,,0,0,0,0,0,0,1,1,ANE,
Argyranthemum_sundingii,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Atalanthus_arboreus,Asteraceae,1,End,,0,1,0,1,0,0,0,2,ANE,
Atalanthus_canariensis,Asteraceae,1,End,,0,0,1,0,0,0,0,1,ANE,
Atalanthus_capillaris,Asteraceae,1,End,,0,0,1,1,1,0,0,3,ANE,
Atalanthus_microcarpus,Asteraceae,1,End,,0,0,0,1,0,0,0,1,ANE,
Atalanthus_pinnatus,Asteraceae,1,End,,0,0,1,1,1,1,1,5,ANE,
Atalanthus_regis-jubae,Asteraceae,1,End,,0,1,1,1,1,0,0,4,ANE,
Chamaesyce_peplis,Euphorbiaceae,1,NO,exclusive,0,1,0,1,1,1,1,5,,
Erodium_touchyanum,Geraniaceae,1,NO,exclusive,0,0,0,0,0,1,1,2,,
Briza_maxima,Poaceae,1,NO,,1,1,1,1,1,1,1,7,ANE,
Bystropogon_canariensis,Lamiaceae,1,End,,1,1,1,1,1,0,0,5,ANE,
