Family,Genus ,Species,littoral,Used_for_the_AoB_paper,origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Malvaceae,Abutilon,depauperatum,,,En,8,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Schizocarp,1,0,0,0,0,,
Mimosaceae,Acacia,insulae-iacobi,,,Id,1,3,,,,,,,,,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Mimosaceae,Acacia,macracantha,,,Id,1,6,,,1,,1,,,1,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Mimosaceae,Acacia,rorudiana,,,EnQ,1,7,1,,1,,1,,,1,1,1,,1,3,Pod,0.5,0,0,0.5,0,,
Euphorbiaceae,Acalypha,abingdonii,,,En,1,2,,,,,,1,1,,,,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,flacida,,,En,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,wigginsii,,,En,1,2,,,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,parvula,,,En,1,3,,,,,1,,,,,1,,1,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,aff. sericea,,,NoData,4,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,velutina,,,NoData,1,1,,,,,,,,,,1,,,1,Capsule,1,0,0,0,0,,
Euphorbiaceae,Acalypha,baurii,,,En,1,6,,1,,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Asteraceae,Acmella,darwinii,,,En,1,5,,,1,,1,,1,,1,,,1,,Achene,0.5,0,0.5,0,0,,
Asteraceae,Acanthospermum,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Asteraceae,Ageratum,conyzoides,,,Id,1,6,,,1,,1,,1,,1,1,,1,1,Achene,0,0,1,0,0,,
Amaranthaceae,Alternanthera,rugulosa,,,Id,1,1,,,,,,,,,1,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,helleri,,,En,1,0,,,,,,,,,,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,nesiotes,,,En,1,1,,,1,,,,,,,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,snodgrassii,,,En,1,1,,,,,,,,,,1,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,flavicoma,,,En,1,3,1,,,,1,,,,1,,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,galapagensis,,,En,1,3,,,1,,,,,,,1,,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,filifolia,,,En,1,10,1,1,1,,1,,1,1,1,1,1,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,vestita,,,Id,1,2,,,,,1,,,,,1,,,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,halimifolia,,,Id,1,6,,1,,,1,,1,,1,1,,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Alternanthera,echinocephala,,,Id,1,9,1,,1,,1,,1,1,1,1,1,1,4,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,hybridus,,,NoData,1,1,,,,,,,,,,1,,,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,anderssonii,,,En,1,7,1,,1,,1,,,1,,1,1,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,furcatus,,,En,1,3,,,,,1,,,,,1,,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,sclerantoides,,,En,1,10,1,,1,1,1,,1,1,1,1,1,1,2,Utricle,1,0,0,0,0,,
Amaranthaceae,Amaranthus,squamulatus,,,Id,1,7,,,1,1,1,,,1,,1,1,1,2,Utricle,1,0,0,0,0,,
Basellaceae,Anredera,ramosa,,,Id,1,6,,1,1,,1,,,1,1,1,,,1,Drupe,0,1,0,0,0,,
Apiaceae,Apium,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,
Poaceae,Aristida,villosa,,,En,1,5,,,1,,,,,1,,1,1,1,1,Caryopside,0,0,0,0,1,,
Poaceae,Aristida,divulsa,,Two syndromes,En,1,7,,1,,,1,1,1,,1,1,,1,1,Caryopside,0,0,0.5,0,0.5,Two syndromes,
Poaceae,Aristida,repens,,,En,1,10,,1,1,1,1,1,1,,1,1,1,1,1,Caryopside,0,0,0,0,1,,
Poaceae,Aristida,subspicata,,,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Caryopside,0,0,0,0,1,,
,Astrephia,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Chenopodiaceae,Atriplex,peruviana,exclusive,Two syndromes,Id,1,3,1,,,,,,,1,,1,,,1,Utricle,0,0.5,0,0.5,0,Two syndromes,exclusive
Verbenaceae,Avicennia,germinans,exclusive,,Id,1,9,1,1,1,,1,,,1,1,1,1,1,1,Capsule,0,0,0,1,0,,exclusive
Asteraceae,Baccharis,steetzii,,,En,1,5,,,1,,1,,,,1,1,,1,2,Achene,0,0,0,0,1,,
Asteraceae,Baccharis,gnidiifolia,,,NaQ,1,4,,1,1,,1,,,,,,,1,,Achene,0,0,0,0,1,,
Malvaceae,Bastardia,viscosa,,,Id,1,9,1,,1,,1,,1,1,1,1,1,1,1,Schizocarp,1,0,0,0,0,,
Batidaceae,Batis,maritima,exclusive,,Id,1,6,1,,1,,1,,,,1,1,,1,1,Drupe-like,0,0,0,1,0,,exclusive
Asteraceae,Bidens,pilosa,,,NaQ,1,6,,1,1,,1,,,,1,1,,1,2,Achene,0,0,1,0,0,,
Asteraceae,Bidens,riparia,,,Id,1,6,1,1,1,,1,,,,,1,,1,2,Achene,0,0,1,0,0,,
Asteraceae,Blainvillea,dichotoma,,,Id,8,10,1,1,1,,1,,1,1,1,1,1,1,1,Achene,0,0,1,0,0,,
Acanthaceae,Blechum,puberulum,,,NaQ,,,,1,1,,1,,1,1,1,1,,1,,Capsule,1,0,0,0,0,,
Acanthaceae,Blechum,pyramidatum,,,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Blechum,polypodioides,,,NaQ,1,7,,,1,,1,,1,1,1,1,,1,,,1,0,0,0,0,,
Amaranthaceae,Blutaparon,rigidum,,,En,1,1,,,,,,,,,,,,1,1,Achene,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,erecta,,,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,1,0,0,0,0,,
Nyctaginaceae,Boerhavia,coccinea,,,Id,1,9,1,1,1,,1,,1,,1,1,1,1,,Anthocarp,0,0,1,0,0,,
