"","archipelago","island","degree_geo","in_degree","out_degree","closeness_geo","closeness","betweenness_geo","betweenness","Percent_regional_litt","Littoral_Species_island","Total_Species_island","Total_Litt_archip","area","age"
"1","Azores","Corvo",0.000406910976016667,0.0094014797046588,0.00935498756748673,0.448974094194765,0.0291387453765954,0,7,54.1666666666667,13,88,24,17.64,0.71
"2","Azores","Faial",0.000794634626998506,0.0313947528589698,0.046893819747694,0.927067592498169,0.0743761509671638,10,22,70.8333333333333,17,108,24,178.47,0.72
"3","Azores","Flores",0.000414274232971258,0.00858273900561087,0.0100940677589066,0.460710600029485,0.0298830241019777,0,7,66.6666666666667,16,109,24,144.39,2.16
"4","Azores","Graciosa",0.00076296273689993,0.00713893771443726,0.00734047528164851,0.823404448030828,0.0629283371924653,0,0,41.6666666666667,10,54,24,63.39,2.5
"5","Azores","Pico",0.000872440477748406,0.049078057890795,0.0375926383384622,0.94205424348334,0.0752039934432004,13,28,83.3333333333333,20,115,24,456.23,0.26
"6","Azores","SantaMaria",0.00036125340481334,0.00292508470483685,0.0021789482705572,0.417158566142576,0.0383190671977332,0,0,62.5,15,84,24,100.69,8.12
"7","Azores","SaoJorge",0.000905378855782202,0.0167199678301627,0.0129108830280294,0.957900282580583,0.0770738245193346,14,30,70.8333333333333,17,107,24,255.07,0.55
"8","Azores","SaoMiguel",0.000483722730131089,0.00344953236715411,0.00309030433560725,0.544834424818298,0.048668379229944,7,14,75,18,116,24,767.33,4.04
"9","Azores","Terceira",0.00075644109593186,0.00620386405521807,0.00543829180345161,0.877832105831439,0.0713515935356878,12,14,83.3333333333333,20,110,24,409.9,3.52
"10","Canaries","ElHierro",0.000845472915275159,0.00527067531086643,0.00214872531717061,1.19074552577369,0.115454186662322,0,0,21.6216216216216,24,272,111,292.95,1.1
"11","Canaries","Fuerteventura",0.000852086333387299,3.91139469168852,0.0168659464884365,1.15031115916856,0.0538866666277278,5,10,76.5765765765766,85,354,111,1659,20
"12","Canaries","GranCanaria",0.00119452905691931,0.00404831574151819,0.00411016140429757,1.62675689744925,0.0977189167397043,8,8,63.963963963964,71,425,111,1547.27,15
"13","Canaries","LaGomera",0.00117190704433324,0.00683874789041246,0.00557401881597247,1.70520428347316,0.133703527678653,4,16,27.9279279279279,31,338,111,374.4,11
"14","Canaries","LaPalma",0.000902901926792712,0.00435448972519307,0.0037882223460392,1.22009248301021,0.107912156578455,0,0,20.7207207207207,23,300,111,715.32,2
"15","Canaries","Lanzarote",0.000662036822488067,0.0151466821557498,3.91212007065282,1.08274323826848,0.0526810320941939,0,0,65.7657657657658,73,330,111,820.62,15.5
"16","Canaries","Tenerife",0.00149131310118559,0.00468802391744298,0.00713448140496962,1.79568676040152,0.116663603468173,9,18,62.1621621621622,69,471,111,2047.85,9.55
"17","Galapagos","Espanola",0.000666684444918531,0.0168448684153095,0.0282476462723032,0.840329072864934,0.124603633250416,0,5,56.5217391304348,13,108,23,63.83,3.25
"18","Galapagos","Fernandina",0.000750356419299167,0.016732108240699,0.0124215107391678,1.51904118120642,0.224245288815241,0,0,47.8260869565217,11,140,23,653.74,0.0525
"19","Galapagos","Floreana",0.000868063090825441,0.0329716205794507,0.0174188706826819,1.112681227955,0.177915445486442,0,4,73.9130434782609,17,211,23,177.75,1.9
"20","Galapagos","Genovesa",0.000737012005925577,0.0128245360127806,0.0256721192082936,0.849314603115286,0.107626873503709,0,0,39.1304347826087,9,58,23,16.52,0.3
"21","Galapagos","Isabela",0.00133038873958971,0.0398287522625781,0.0251792344474397,1.61705017706699,0.302614965267252,12,24,82.6086956521739,19,253,23,4717.42,0.65
"22","Galapagos","Marchena",0.000862373770039411,0.029244295108334,0.0327891257304588,1.06167255894937,0.157007333318848,1,18,30.4347826086957,7,55,23,130.91,0.6
"23","Galapagos","Pinta",0.000702513593638037,0.0293591466957443,0.0168527129786356,0.909702891035788,0.151094232153915,0,0,52.1739130434783,12,142,23,62.12,0.7
"24","Galapagos","Pinzon",0.00116381918905079,0.019790565713239,0.0251220596430733,1.66663888935184,0.175283867134716,8,0,52.1739130434783,12,112,23,18.96,1.5
"25","Galapagos","SanCristobal",0.000768769507526254,0.0133292492431859,0.0288011475316871,0.999160705007794,0.116223846230815,1,7,82.6086956521739,19,222,23,565.55,3.2
"26","Galapagos","SantaCruz",0.00148920327624721,0.0759341194029932,0.0450364413541561,1.77619893428064,0.201814427932981,24,25,95.6521739130435,22,260,23,995.44,1.7
"27","Galapagos","SantaFe",0.0010415798683443,0.0403405165337643,0.0755507040975664,1.5330369461904,0.190467220678586,14,21,34.7826086956522,8,83,23,25.77,2.9
"28","Galapagos","Santiago",0.00129170595605616,0.0282292130207758,0.0223374185433911,1.68747890651367,0.253680795454505,14,18,73.9130434782609,17,226,23,577.81,1.1
