"","name_species","SantaMaria","SaoMiguel","Terceira","Graciosa","SaoJorge","Pico","Faial","Flores","Corvo"
"8","Ammi seubertianum",1,NA,NA,NA,NA,1,NA,NA,NA
"16","Azorina vidalii",1,1,1,1,1,1,1,1,1
"18","Beta vulgaris",1,1,1,1,1,1,1,NA,NA
"25","Carex extensa",NA,NA,1,NA,NA,NA,NA,NA,NA
"41","Cladium mariscus",1,1,NA,NA,NA,NA,NA,1,NA
"44","Corema album",NA,1,NA,1,1,1,1,NA,NA
"45","Crithmum maritimum",1,1,1,1,1,1,1,1,1
"55","Euphorbia azorica",1,1,1,1,1,1,1,1,1
"60","Festuca petraea",1,1,1,1,1,1,1,1,1
"64","Frankenia laevis",NA,NA,NA,NA,NA,1,NA,NA,1
"65","Frankenia pulverulenta",1,1,1,1,1,1,1,1,1
"82","Juncus acutus",1,1,1,1,1,1,1,1,1
"87","Juncus maritimus",NA,NA,1,NA,NA,1,NA,NA,NA
"93","Limonium eduardi-diasii",1,1,1,NA,NA,1,NA,NA,1
"102","Myosotis maritima",1,NA,1,NA,1,1,1,1,1
"110","Polygonum maritimum",NA,1,1,NA,NA,1,1,NA,NA
"125","Ruppia maritima",NA,NA,1,NA,1,NA,NA,NA,NA
"126","Sagina maritima",1,1,1,1,1,1,1,1,1
"133","Silene uniflora",NA,1,1,NA,1,1,1,1,1
"136","Spergularia azorica",1,1,1,1,1,1,1,1,1
