"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"19","Chamaesyce peplis",NA,1,NA,1,1,1,1
"20","Erodium touchyanum",NA,NA,NA,NA,NA,1,1
"26","Malcolmia maritima",NA,NA,NA,1,1,1,1
"38","Polycarpon alsinifolium",NA,NA,NA,NA,NA,NA,1
"65","Salsola kali",NA,NA,NA,1,1,1,NA
"77","Salsola vermiculata",NA,NA,NA,1,1,1,1
"91","Suaeda ifniensis",NA,NA,NA,1,NA,1,1
"92","Cyperus capitatus",NA,1,NA,1,1,1,1
"94","Lotus lancerottensis",NA,NA,NA,NA,NA,1,1
"97","Polycarpaea nivea",1,1,NA,1,1,1,1
"99","Sagina maritima",NA,NA,NA,1,NA,NA,NA
"100","Atractylis arbuscula",NA,NA,NA,NA,1,NA,1
"102","Atractylis preauxiana",NA,NA,NA,1,1,NA,NA
"103","Caralluma burchardii",NA,NA,NA,NA,1,1,1
"111","Cutandia memphitica",NA,NA,NA,1,1,1,1
"113","Launaea mucronata",NA,NA,NA,NA,NA,1,NA
"130","Matthiola bolleana",NA,NA,NA,NA,NA,1,1
"135","Pulicaria burchardii",NA,NA,NA,NA,NA,1,NA
"136","Pulicaria canariensis",NA,NA,NA,NA,NA,1,1
"152","Rumex bipinnatus",NA,NA,NA,NA,NA,1,1
"159","Salsola divaricata",NA,1,1,1,1,1,1
"185","Salsola tetrandra",NA,NA,NA,NA,NA,1,1
"197","Schizogyne sericea",1,1,1,1,1,1,1
"206","Senecio bollei",NA,NA,NA,NA,NA,1,NA
"226","Sonchus bornmuelleri",NA,1,NA,NA,NA,NA,NA
"227","Sonchus brachylobus",NA,NA,NA,NA,1,NA,NA
"229","Tamarix canariensis",NA,1,1,1,1,1,1
"231","Triplachne nitens",NA,NA,NA,NA,1,1,1
"232","Trisetaria lapalmae",1,1,NA,1,NA,1,1
"233","Citrullus colocynthis",NA,1,NA,1,1,1,1
"234","Kunkeliella subsucculenta",NA,NA,NA,1,NA,NA,NA
"235","Arnebia decumbens",NA,NA,NA,1,1,1,1
"236","Gymnocarpos sclerocephalus",NA,NA,NA,1,NA,1,NA
"237","Medicago littoralis",1,NA,1,1,1,1,1
"238","Frankenia pulverulenta",1,NA,NA,1,1,1,1
"239","Sarcocornia perennis",NA,NA,NA,NA,NA,1,1
"240","Argyranthemum frutescens",1,1,1,1,1,NA,1
"242","Astydamia latifolia",1,1,1,1,1,1,1
"243","Limonium benmageci",NA,NA,NA,NA,1,NA,NA
"251","Limonium imbricatum",NA,1,NA,1,NA,NA,NA
"252","Limonium ovalifolium",NA,NA,NA,NA,NA,1,1
"253","Limonium papillatum",NA,NA,NA,NA,NA,1,1
"256","Limonium pectinatum",1,1,1,1,1,NA,NA
"258","Limonium puberulum",NA,NA,NA,NA,NA,1,1
