"","name_species","Espanola","Fernandina","Floreana","Genovesa","Isabela","Marchena","Pinta","Pinzon","San_Cristobal","Santa_Cruz","Santa_Fe","Santiago"
"37","Atriplex peruviana",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"38","Avicennia germinans",1,1,1,NA,1,NA,NA,1,1,1,1,1
"42","Batis maritima",1,NA,1,NA,1,NA,NA,NA,1,1,NA,1
"69","Canavalia rosea/MARITIMA",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1
"97","Conocarpus erectus",NA,1,NA,NA,1,1,1,NA,1,1,NA,1
"115","Cryptocarpus pyriformis",1,1,1,1,1,1,1,1,1,1,1,1
"124","Cyperus elegans",1,NA,1,1,NA,NA,NA,1,1,1,1,NA
"195","Heliotropium curassavicum",1,NA,1,1,1,1,1,1,1,1,NA,1
"200","Hibiscus pernabucensis",NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA
"217","Ipomoea pes-caprae",NA,1,NA,1,1,1,1,NA,1,1,NA,NA
"229","Laguncularia racemosa",NA,1,1,NA,1,NA,1,1,1,1,NA,1
"252","Lycium minimum",1,NA,1,NA,1,NA,1,1,NA,1,1,1
"255","Maytenus octogona",1,1,1,NA,1,NA,NA,1,1,1,1,1
"270","Nolana galapagensis",NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA
"346","Rhizophora mangle",1,1,1,1,1,1,NA,1,1,1,NA,1
"359","Salicornia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"365","Scaevola plumieri",NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA
"389","Sesuvium edmonstonei",1,1,1,1,1,NA,1,1,1,1,NA,1
"390","Sesuvium portulacastrum",NA,1,1,1,1,1,1,NA,1,1,1,1
"409","Sporobolus virginicus",1,1,1,1,1,NA,NA,NA,1,1,NA,1
"433","Uniola pittieri",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
