"","name_species","SantaMaria","SaoMiguel","Terceira","Graciosa","SaoJorge","Pico","Faial","Flores","Corvo"
"1","Agrostis botelhoi",NA,NA,1,NA,NA,NA,NA,1,NA
"2","Agrostis congestiflora",NA,1,1,1,1,1,1,1,1
"3","Agrostis gracililaxa",NA,1,1,1,NA,NA,1,1,NA
"4","Agrostis stolonifera",1,1,1,1,1,1,1,1,1
"5","Aichryson villosum",1,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aira caryophyllea",1,1,1,NA,1,1,1,1,1
"7","Aira praecox",1,1,1,NA,1,1,1,1,1
"9","Ammi trifoliatum",NA,1,1,NA,1,1,1,1,1
"10","Anagallis minima",1,NA,NA,NA,NA,NA,NA,1,1
"11","Anagallis tenella",NA,NA,NA,NA,1,1,1,1,NA
"12","Angelica lignescens",NA,1,1,NA,NA,1,1,1,NA
"13","Anthoxanthum odoratum",1,1,1,1,1,1,1,1,1
"14","Apium graveolens",1,1,1,1,1,1,1,1,1
"15","Arceuthobium azoricum",NA,NA,1,NA,1,1,1,NA,NA
"17","Bellis azorica",NA,1,1,NA,1,1,1,1,1
"19","Brachypodium sylvaticum",1,1,1,1,1,1,1,1,1
"20","Callitriche stagnalis",1,1,1,1,1,1,1,1,1
"21","Calluna vulgaris",1,1,1,1,1,1,1,1,1
"22","Cardamine caldeirarum",1,1,1,NA,1,1,1,1,1
"23","Carex divulsa",1,1,1,1,1,1,1,1,NA
"24","Carex echinata",NA,1,1,NA,1,1,1,1,1
"26","Carex hochstetteriana",1,1,1,NA,1,1,1,1,1
"27","Carex otrubae",1,NA,NA,NA,NA,NA,NA,1,1
"28","Carex pairae",NA,1,NA,1,1,NA,NA,NA,1
"29","Carex pendula",1,1,NA,NA,1,1,1,1,1
"30","Carex peregrina",1,1,1,1,1,1,1,1,1
"31","Carex pilulifera",NA,1,1,NA,1,1,1,1,NA
"32","Carex punctata",1,1,1,1,1,1,1,1,NA
"33","Carex viridula",NA,1,1,NA,1,1,1,1,NA
"34","Carex vulcani",1,1,1,NA,1,1,1,1,NA
"35","Centaurium scilloides",1,1,1,NA,1,1,1,1,1
"36","Cerastium azoricum",NA,NA,NA,NA,NA,NA,NA,1,1
"37","Cerastium fontanum",1,1,1,1,1,1,1,1,1
"38","Ceratophyllum demersum",NA,1,NA,NA,NA,1,NA,1,NA
"39","Chaerophyllum azoricum",NA,1,NA,NA,1,1,NA,1,NA
"40","Cicendia filiformis",NA,1,1,NA,NA,NA,NA,NA,NA
"42","Clinopodium ascendens",1,1,1,1,1,1,1,1,1
"43","Clinopodium vulgare",1,1,1,NA,1,1,NA,1,1
"46","Cyperus longus",1,1,1,1,1,1,1,1,1
"47","Daboecia azorica",NA,1,NA,NA,1,1,1,NA,NA
"48","Danthonia decumbens",1,1,1,NA,NA,1,1,NA,NA
"49","Daphne laureola",NA,1,1,NA,NA,1,NA,NA,NA
"50","Daucus carota",1,1,1,1,1,1,1,1,1
"51","Deschampsia foliosa",NA,1,1,NA,1,1,1,1,1
"52","Elatine hexandra",NA,1,1,1,NA,1,1,1,1
"53","Eleocharis multicaulis",NA,1,1,NA,1,1,1,1,1
"54","Erica azorica",1,1,1,1,1,1,1,1,1
"56","Euphorbia stygiana",1,1,1,NA,1,1,1,1,1
"57","Euphrasia azorica",NA,NA,NA,NA,NA,NA,NA,1,1
"58","Euphrasia grandiflora",NA,NA,NA,NA,1,1,NA,NA,NA
"59","Festuca francoi",1,1,1,NA,1,1,1,1,1
"61","Filago minima",NA,NA,NA,NA,NA,1,NA,NA,NA
"62","Fragaria vesca",1,1,1,1,1,1,1,1,1
"63","Frangula azorica",NA,1,1,NA,1,1,1,1,NA
"66","Galium saxatile",NA,NA,NA,NA,NA,NA,1,NA,NA
"67","Gaudinia coarctata",1,1,1,1,1,1,1,1,1
"68","Gnaphalium luteoalbum",1,1,1,1,1,1,1,1,1
"69","Hedera azorica",1,1,1,1,1,1,1,1,1
"70","Helosciadium nodiflorum",1,1,1,NA,1,NA,NA,1,NA
"71","Holcus azoricus",1,1,1,NA,1,1,1,NA,NA
"72","Holcus rigidus",1,1,1,1,1,1,1,1,1
"73","Hydrocotyle vulgaris",NA,1,1,NA,1,1,1,1,NA
"74","Hypericum elodes",NA,1,NA,NA,NA,1,NA,NA,NA
"75","Hypericum foliosum",1,1,1,1,1,1,1,1,1
"76","Hypericum humifusum",1,1,1,1,1,1,1,1,1
"77","Hypericum undulatum",1,1,1,1,1,1,1,1,1
"78","Ilex perado",1,1,1,NA,1,1,1,1,1
"79","Isolepis cernua",1,1,1,1,1,1,1,1,1
"80","Isolepis fluitans",NA,1,1,1,1,1,1,NA,NA
"81","Isolepis setacea",1,1,1,1,1,1,1,1,1
"83","Juncus articulatus",1,1,1,NA,1,NA,NA,1,1
"84","Juncus bufonius",1,1,1,1,1,1,1,1,1
"85","Juncus bulbosus",NA,1,1,NA,NA,NA,1,1,1
"86","Juncus capitatus",1,1,1,NA,1,1,1,1,1
"88","Lactuca watsoniana",NA,1,1,NA,1,1,1,NA,NA
"89","Laurus azorica",1,1,1,1,1,1,1,1,1
"90","Leontodon filii",NA,NA,1,NA,1,1,1,NA,NA
"91","Leontodon rigens",NA,NA,NA,NA,NA,NA,NA,1,1
"92","Leontodon sp",NA,1,NA,NA,NA,NA,NA,NA,NA
"94","Littorella uniflora",NA,1,1,NA,1,1,1,1,1
"95","Lobelia urens",NA,NA,1,NA,NA,NA,1,1,NA
"96","Lotus azoricus",1,1,NA,NA,1,1,NA,1,NA
"97","Luzula purpureosplendens",NA,1,1,NA,1,1,1,1,1
"98","Lysimachia azorica",1,1,1,NA,1,1,1,1,1
"99","Lythrum portula",NA,1,1,NA,1,1,1,1,NA
"100","Morella faya",1,1,1,1,1,1,1,1,1
"101","Myosotis azorica",NA,NA,NA,NA,NA,NA,NA,1,1
"103","Nardus stricta",NA,1,NA,NA,NA,NA,NA,NA,NA
"104","Ornithopus pinnatus",1,1,1,1,1,1,1,1,1
"105","Orobanche hederae",1,NA,NA,NA,NA,NA,1,NA,NA
"106","Picconia azorica",1,1,1,NA,1,1,1,1,1
"107","Plantago coronopus",1,1,1,1,1,1,1,1,1
"108","Platanthera azorica",NA,1,NA,NA,NA,1,1,1,NA
"109","Platanthera micrantha",1,1,1,NA,1,1,1,1,1
"111","Potamogeton lucens",NA,1,NA,NA,NA,NA,NA,NA,NA
"112","Potamogeton nodosus",1,NA,NA,NA,NA,1,NA,NA,NA
"113","Potamogeton polygonifolius",NA,1,1,1,1,1,1,1,1
"114","Potamogeton pusillus",1,1,NA,1,1,NA,NA,1,NA
"115","Potentilla erecta",NA,1,1,NA,1,1,1,1,1
"116","Prunus lusitanica",NA,1,1,NA,1,1,1,1,NA
"117","Radiola linoides",1,NA,NA,NA,NA,NA,NA,NA,NA
"118","Ranunculus cortusifolius",NA,1,1,NA,1,1,1,1,1
"119","Romulea columnae",1,1,1,NA,NA,NA,NA,NA,NA
"120","Rostraria azorica",1,NA,NA,NA,NA,NA,NA,NA,NA
"121","Rubia agostinhoi",NA,1,1,1,1,1,1,1,1
"122","Rubus hochstetterorum",1,1,1,NA,1,1,1,1,1
"123","Rumex acetosella",1,1,1,1,1,1,1,1,1
"124","Rumex azoricus",NA,1,1,NA,1,NA,1,NA,1
"127","Sagina procumbens",1,1,1,1,1,1,1,1,1
"128","Samolus valerandi",NA,NA,NA,NA,1,NA,NA,1,NA
"129","Sanicula azorica",1,1,1,NA,1,1,1,NA,NA
"130","Scabiosa nitens",1,1,1,NA,1,1,1,1,1
"131","Serapias cordigera",1,1,1,1,1,1,1,NA,NA
"132","Sibthorpia europaea",1,1,1,NA,1,1,1,1,1
"134","Smilax azorica",1,1,1,NA,1,1,1,NA,NA
"135","Sonchus asper",1,1,1,1,1,1,1,1,1
"137","Stellaria alsine",NA,NA,NA,NA,NA,1,NA,1,NA
"138","Taraxacum maderense",NA,NA,NA,NA,NA,1,NA,NA,NA
