"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"1","Allagopappus canariensis",NA,NA,1,1,1,NA,NA
"2","Allagopappus viscosissimus",NA,NA,NA,NA,1,NA,NA
"3","Andryala pinnatifida",1,1,1,1,1,1,1
"4","Argyranthemum broussonetii",NA,NA,1,1,NA,NA,NA
"5","Argyranthemum coronopifolium",NA,1,NA,1,NA,NA,NA
"6","Argyranthemum escarrei",NA,NA,NA,NA,1,NA,NA
"7","Argyranthemum gracile",NA,NA,NA,1,NA,NA,NA
"8","Argyranthemum hierrense",1,NA,NA,NA,NA,NA,NA
"9","Argyranthemum lemsii",NA,NA,NA,1,NA,NA,NA
"10","Argyranthemum lidii",NA,NA,NA,NA,1,NA,NA
"11","Argyranthemum maderense",NA,NA,NA,NA,NA,NA,1
"12","Argyranthemum sundingii",NA,NA,NA,1,NA,NA,NA
"13","Atalanthus arboreus",NA,1,NA,1,NA,NA,NA
"14","Atalanthus canariensis",NA,NA,1,NA,NA,NA,NA
"15","Atalanthus capillaris",NA,NA,1,1,1,NA,NA
"16","Atalanthus microcarpus",NA,NA,NA,1,NA,NA,NA
"17","Atalanthus pinnatus",NA,NA,1,1,1,1,1
"18","Atalanthus regis-jubae",NA,1,1,1,1,NA,NA
"21","Briza maxima",1,1,1,1,1,1,1
"22","Bystropogon canariensis",1,1,1,1,1,NA,NA
"23","Bystropogon odoratissimus",NA,NA,NA,1,NA,NA,NA
"24","Bystropogon origanifolius",1,1,1,1,1,NA,NA
"25","Campylanthus salsoloides",NA,1,1,1,1,1,1
"27","Carduus baeocephalus",1,NA,NA,NA,1,NA,NA
"28","Carduus bourgeaui",NA,NA,NA,NA,NA,1,NA
"29","Carduus clavulatus",1,1,1,1,1,1,1
"30","Carlina falcata",NA,1,NA,1,NA,NA,NA
"31","Carlina salicifolia",1,NA,1,1,1,1,1
"32","Centaurea melitensis",1,1,1,1,1,1,1
"33","Ceropegia dichotoma",1,1,1,1,1,NA,NA
"34","Ceropegia fusca",NA,1,NA,1,1,NA,NA
"35","Chrysoprenanthes pendula",NA,NA,NA,NA,1,NA,NA
"36","Crambe sventenii",NA,NA,NA,NA,NA,1,NA
"37","Crepis canariensis",NA,NA,NA,NA,NA,1,1
